name,label,extended_label,source
Dublinas,0,0,native
Dublin,0,0,native
Dublin,0,0,native
Dublin,0,0,native
Dublin,0,0,native
Baile Átha Cliath,0,0,native
Dublin,0,0,native
Dublino,0,0,native
Dublin,0,0,native
Dublina,0,0,native
Dublin,0,0,native
Dublin,0,0,native
Dublin,0,0,native
Dublin,0,0,native
Dublin,0,0,native
Dublin,0,0,native
Dublin,0,0,native
Dublin,0,0,native
Дъблин,0,0,native
Dublin,0,0,native
Dublin,0,0,native
Dublín,0,0,native
Dublin,0,0,native
Dublin,0,0,native
Δουβλίνο,0,0,native
Riga,1,1,native
Riga,1,1,native
Riga,1,1,native
Riga,1,1,native
Riga,1,1,native
Riga,1,1,native
Riga,1,1,native
Ríge,1,1,native
Riga,1,1,native
Riga,1,1,native
Riga,1,1,native
Riia,1,1,native
Riga,1,1,native
Rīga,1,1,native
Рига,1,1,native
Riika,1,1,native
Riga,1,1,native
Riga,1,1,native
Ryga,1,1,native
Riga,1,1,native
Ρίγα,1,1,native
Ryga,1,1,native
Riga,1,1,native
Riga,1,1,native
Riga,1,1,native
Řím,2,2,native
Róma,2,2,native
Rim,2,2,native
Ruma,2,2,native
Ρώμη,2,2,native
Roma,2,2,native
Rooma,2,2,native
Rom,2,2,native
Rome,2,2,native
Rom,2,2,native
Rome,2,2,native
Rim,2,2,native
Rzym,2,2,native
Rom,2,2,native
Roma,2,2,native
Roma,2,2,native
Rím,2,2,native
Rooma,2,2,native
An Róimh,2,2,native
Rome,2,2,native
Roma,2,2,native
Roma,2,2,native
Рим,2,2,native
Rome,2,2,native
Roma,2,2,native
Madrid,3,3,native
Madrid,3,3,native
Madrid,3,3,native
Madride,3,3,native
Madryt,3,3,native
Madrid,3,3,native
Madrid,3,3,native
Madrid,3,3,native
Madridas,3,3,native
Madrid,3,3,native
Madrid,3,3,native
Madrid,3,3,native
Madrid,3,3,native
Madrid,3,3,native
Madrid,3,3,native
Madrid,3,3,native
Madrid,3,3,native
Madrid,3,3,native
Μαδρίτη,3,3,native
Madrid,3,3,native
Maidrid,3,3,native
Madrid,3,3,native
Madrid,3,3,native
Мадрид,3,3,native
Madrid,3,3,native
Sofia,4,4,native
Sofia,4,4,native
Sofia,4,4,native
Sofia,4,4,native
Sofija,4,4,native
Sofija,4,4,native
Sofia,4,4,native
Sofia,4,4,native
Sofija,4,4,native
Sofia,4,4,native
Σόφια,4,4,native
Szófia,4,4,native
Sofie,4,4,native
Sofia,4,4,native
Sofía,4,4,native
Sofia,4,4,native
Sofija,4,4,native
Sófia,4,4,native
Sofia,4,4,native
Sóifia,4,4,native
София,4,4,native
Sofija,4,4,native
Sofia,4,4,native
Sofia,4,4,native
Budapešta,5,5,native
Budapest,5,5,native
Budapesta,5,5,native
Budapest,5,5,native
Búdaipeist,5,5,native
Boedapest,5,5,native
Budapest,5,5,native
Budapeštas,5,5,native
Budapešť,5,5,native
Budimpešta,5,5,native
Budapest,5,5,native
Budapest,5,5,native
Budapeszt,5,5,native
Budapest,5,5,native
Budapest,5,5,native
Budapeste,5,5,native
Budapešť,5,5,native
Budapest,5,5,native
Будапеща,5,5,native
Budapest,5,5,native
Budimpešta,5,5,native
Βουδαπέστη,5,5,native
Budapest,5,5,native
Budapest,5,5,native
Budapest,5,5,native
Vilnius,6,6,native
Вилнюс,6,6,native
Vilna,6,6,native
Vilnius,6,6,native
Wilno,6,6,native
Vilnius,6,6,native
Vilnius,6,6,native
Vilnius,6,6,native
Vilnius,6,6,native
Viļņa,6,6,native
Vilnius,6,6,native
Vilnius,6,6,native
Vilnius,6,6,native
Vilnius,6,6,native
Vilnius,6,6,native
Vilnius,6,6,native
Vilnius,6,6,native
Βίλνιους,6,6,native
Vilnius,6,6,native
Vilnius,6,6,native
Vilnius,6,6,native
Vilnius,6,6,native
Vilnius,6,6,native
Vilnius,6,6,native
Vilnius,6,6,native
Tallinn,7,7,native
Tallinn,7,7,native
Tallinn,7,7,native
Tallinn,7,7,native
Tallinn,7,7,native
Tallinn,7,7,native
Tallin,7,7,native
Tallinn,7,7,native
Tallin,7,7,native
Tallinn,7,7,native
Tallinn,7,7,native
Tallinn,7,7,native
Tallinna,7,7,native
Талин,7,7,native
Tallinn,7,7,native
Talinas,7,7,native
Tallinn,7,7,native
Ταλίν,7,7,native
Taline,7,7,native
Tallinn,7,7,native
Tallinn,7,7,native
Tallinn,7,7,native
Tallina,7,7,native
Tálainn,7,7,native
Tallinn,7,7,native
Zágráb,8,8,native
Zagabria,8,8,native
Zágreb,8,8,native
Záhreb,8,8,native
Zagreb,8,8,native
Zagreb,8,8,native
Ζάγκρεμπ,8,8,native
Zagreb,8,8,native
Zagreba,8,8,native
Zagreb,8,8,native
Zagreb,8,8,native
Zagreb,8,8,native
Zagreb,8,8,native
Zagreb,8,8,native
Zagreb,8,8,native
Zagreb,8,8,native
Zagrebas,8,8,native
Zagreb,8,8,native
Záhřeb,8,8,native
Загреб,8,8,native
Zagrzeb,8,8,native
Zagreb,8,8,native
Zagrebe,8,8,native
Zagreb,8,8,native
Zagreb,8,8,native
Nicósia,9,9,native
Nikosia,9,9,native
Nicósia,9,9,native
Nicosia,9,9,native
Nikosia,9,9,native
Λευκωσία,9,9,native
Nikosia,9,9,native
Nicosie,9,9,native
Nicosia,9,9,native
An Niocóis,9,9,native
Nikozija,9,9,native
Nikosia,9,9,native
Nikozja,9,9,native
Nicosia,9,9,native
Nikozija,9,9,native
Nicosia,9,9,native
Nikosija,9,9,native
Nicosia,9,9,native
